DATE,VALUE
1968-04-01,37.700
1968-04-02,37.300
1968-04-03,37.600
1968-04-04,36.950
1968-04-05,37.000
1968-04-08,37.050
1968-04-09,37.500
1968-04-10,37.700
1968-04-11,38.000
1968-04-12,.
1968-04-15,.
1968-04-16,38.000
1968-04-17,37.800
1968-04-18,37.550
1968-04-19,37.650
1968-04-22,38.000
1968-04-23,38.400
1968-04-24,38.250
1968-04-25,38.300
1968-04-26,38.650
1968-04-29,38.750
1968-04-30,39.100
1968-05-01,39.200
1968-05-02,39.450
1968-05-03,39.100
1968-05-06,39.750
1968-05-07,39.300
1968-05-08,39.750
1968-05-09,39.700
1968-05-10,39.600
1968-05-13,39.500
1968-05-14,39.800
1968-05-15,40.250
1968-05-16,42.250
1968-05-17,41.500
1968-05-20,42.300
1968-05-21,42.400
1968-05-22,41.550
1968-05-23,41.400
1968-05-24,41.750
1968-05-27,41.500
1968-05-28,41.500
1968-05-29,41.600
1968-05-30,41.950
1968-05-31,41.950
1968-06-03,.
1968-06-04,41.150
1968-06-05,41.200
1968-06-06,41.200
1968-06-07,41.250
1968-06-10,41.300
1968-06-11,41.550
1968-06-12,41.900
1968-06-13,41.300
1968-06-14,41.000
1968-06-17,40.700
1968-06-18,41.100
1968-06-19,41.400
1968-06-20,41.100
1968-06-21,41.050
1968-06-24,40.900
1968-06-25,40.950
1968-06-26,40.850
1968-06-27,40.900
1968-06-28,40.900
1968-07-01,40.800
1968-07-02,40.900
1968-07-03,41.050
1968-07-04,41.150
1968-07-05,41.000
1968-07-08,40.850
1968-07-09,39.800
1968-07-10,40.100
1968-07-11,39.100
1968-07-12,39.300
1968-07-15,39.200
1968-07-16,38.500
1968-07-17,37.750
1968-07-18,38.000
1968-07-19,38.700
1968-07-22,38.600
1968-07-23,39.000
1968-07-24,39.200
1968-07-25,38.900
1968-07-26,38.900
1968-07-29,39.100
1968-07-30,39.000
1968-07-31,38.850
1968-08-01,38.900
1968-08-02,38.850
1968-08-05,38.950
1968-08-06,38.700
1968-08-07,38.700
1968-08-08,38.450
1968-08-09,38.550
1968-08-12,38.600
1968-08-13,38.900
1968-08-14,38.950
1968-08-15,39.150
1968-08-16,39.150
1968-08-19,39.150
1968-08-20,39.550
1968-08-21,40.000
1968-08-22,39.750
1968-08-23,39.500
1968-08-26,39.500
1968-08-27,39.650
1968-08-28,39.600
1968-08-29,39.850
1968-08-30,39.800
1968-09-02,.
1968-09-03,39.950
1968-09-04,39.900
1968-09-05,40.100
1968-09-06,39.900
1968-09-09,40.050
1968-09-10,40.025
1968-09-11,40.100
1968-09-12,40.100
1968-09-13,40.150
1968-09-16,40.300
1968-09-17,40.300
1968-09-18,40.500
1968-09-19,40.450
1968-09-20,40.400
1968-09-23,40.400
1968-09-24,40.450
1968-09-25,40.450
1968-09-26,40.450
1968-09-27,40.125
1968-09-30,39.600
1968-10-01,39.450
1968-10-02,38.900
1968-10-03,39.175
1968-10-04,39.050
1968-10-07,39.775
1968-10-08,39.600
1968-10-09,38.900
1968-10-10,39.050
1968-10-11,39.275
1968-10-14,39.300
1968-10-15,39.100
1968-10-16,38.950
1968-10-17,39.275
1968-10-18,39.100
1968-10-21,39.000
1968-10-22,39.050
1968-10-23,39.200
1968-10-24,39.200
1968-10-25,39.250
1968-10-28,39.475
1968-10-29,39.500
1968-10-30,39.200
1968-10-31,39.000
1968-11-01,39.175
1968-11-04,39.200
1968-11-05,39.425
1968-11-06,39.525
1968-11-07,39.300
1968-11-08,39.400
1968-11-11,39.550
1968-11-12,39.675
1968-11-13,39.875
1968-11-14,39.900
1968-11-15,40.000
1968-11-18,39.950
1968-11-19,40.225
1968-11-20,40.550
1968-11-21,40.250
1968-11-22,40.000
1968-11-25,40.100
1968-11-26,39.700
1968-11-27,39.900
1968-11-28,39.800
1968-11-29,39.850
1968-12-02,40.150
1968-12-03,40.275
1968-12-04,40.500
1968-12-05,40.350
1968-12-06,40.500
1968-12-09,40.600
1968-12-10,40.625
1968-12-11,40.950
1968-12-12,40.975
1968-12-13,41.000
1968-12-16,40.965
1968-12-17,41.225
1968-12-18,41.900
1968-12-19,41.725
1968-12-20,41.700
1968-12-23,41.600
1968-12-24,.
1968-12-25,.
1968-12-26,.
1968-12-27,41.750
1968-12-30,41.900
1968-12-31,41.900
1969-01-01,.
1969-01-02,41.800
1969-01-03,42.050
1969-01-06,42.050
1969-01-07,42.100
1969-01-08,42.450
1969-01-09,42.500
1969-01-10,42.300
1969-01-13,42.100
1969-01-14,42.500
1969-01-15,42.700
1969-01-16,42.350
1969-01-17,42.200
1969-01-20,42.200
1969-01-21,42.475
1969-01-22,42.525
1969-01-23,42.050
1969-01-24,42.100
1969-01-27,42.200
1969-01-28,42.425
1969-01-29,42.500
1969-01-30,42.550
1969-01-31,42.540
1969-02-03,42.425
1969-02-04,42.500
1969-02-05,42.725
1969-02-06,42.625
1969-02-07,42.525
1969-02-10,42.450
1969-02-11,42.550
1969-02-12,42.500
1969-02-13,42.575
1969-02-14,42.500
1969-02-17,42.650
1969-02-18,42.575
1969-02-19,42.650
1969-02-20,42.625
1969-02-21,42.625
1969-02-24,42.700
1969-02-25,42.650
1969-02-26,42.700
1969-02-27,42.800
1969-02-28,42.700
1969-03-03,42.700
1969-03-04,42.850
